species name,stemlength,stemdiameter,petiole,rachislen,numpin,pinlength,pinwidth,apjoin,stinflolen,straclen,pisinflolen,psraclen,fruitlen,fruitdiam
Calamus concolor,3.0,0.7,4.3,36.2,5,16.6,6.4,,,,,0.8,,
Calamus disjunctus,7.7,1.1,4.0,41.0,6,18.5,6.7,,31.6,0.4,25.2,2.9,16.3,13.4
Calamus glaucescens,4.0,1.0,11.2,,7,20.6,6.0,,24.5,,24.5,0.7,,
Calamus hallierianus,11.8,1.9,22.7,67.8,7,25.5,9.1,,30.8,,51.3,3.3,15.1,13.0
Calamus pseudoconcolor,2.3,1.0,7.3,51.0,8,15.0,5.8,,,,29.0,0.7,,
Calamus subangulatus,7.3,0.9,1.1,42.8,12,20.2,1.5,,14.0,1.0,16.5,3.0,19.2,14.4
